CHR	SNP	P.value	Coordinate	GeneSymbol	Gene	Location	LocationRelativeToGene	Coding_Status	AminoAcidChange	BONF	HOLM	BH	HOMMEL	FDR	CON_ADJ
17	rs9630722	0.1155	6791185	ALOX12	NM_000697	flanking_5UTR	-48942	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
13	rs919165	0.1172	48291297	CYSLTR2	NM_020377	flanking_3UTR	-109799	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
23	rs5931073	0.1183	135950869	GPR101	NM_054021	flanking_5UTR	-111517	-1	-1	1	1	0.8827	0.9992	0.8827	0.95292
7	rs10487263	0.1267	123603987	GPR37	NM_005302	flanking_3UTR	-376079	-1	-1	1	1	0.896413793103448	0.9992	0.896413793103448	0.958405517241379
12	rs10746122	0.1333	107178965	CMKLR1	NM_004072	flanking_3UTR	-8848	-1	-1	1	1	0.896413793103448	0.9992	0.896413793103448	0.958405517241379
7	rs11761806	0.134	123711825	GPR37	NM_005302	flanking_3UTR	-268241	-1	-1	1	1	0.896413793103448	0.9992	0.896413793103448	0.958405517241379
7	rs2402711	0.1479	123612386	GPR37	NM_005302	flanking_3UTR	-367680	-1	-1	1	1	0.95642	0.9992	0.95642	0.982408
17	rs7211486	0.182	6760473	ALOX12	NM_000697	flanking_5UTR	-79654	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs6466914	0.1839	123622377	GPR37	NM_005302	flanking_3UTR	-357689	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs1864415	0.1922	45170306	ALOX5	NM_000698	flanking_5UTR	-19328	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs311743	0.1972	6772131	ALOX12	NM_000697	flanking_5UTR	-67996	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs880766	0.1996	198951129	LGR6	NM_001017403	intron	-14352	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs1696	0.2022	6785138	ALOX12	NM_000697	flanking_5UTR	-54989	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs5929816	0.2029	136099981	GPR101	NM_054021	flanking_5UTR	-260629	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs7809628	0.2239	123634934	GPR37	NM_005302	flanking_3UTR	-345132	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs2079644	0.2251	123719989	GPR37	NM_005302	flanking_3UTR	-260077	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs917164	0.2296	123634481	GPR37	NM_005302	flanking_3UTR	-345585	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs895967	0.234	48245567	CYSLTR2	NM_020377	flanking_3UTR	-64069	0.83	22	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs2072685	0.2408	7890159	ALOX15B	NM_001141	intron	-431	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs9285169	0.2416	48149042	CYSLTR2	NM_020377	flanking_5UTR	-29909	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs4829854	0.2517	135899753	GPR101	NM_054021	flanking_5UTR	-60401	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs7514491	0.2574	183330675	PTGS2	NM_000963	flanking_3UTR	-41950	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs964570	0.2608	183416634	PTGS2	NM_000963	flanking_5UTR	-35422	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs5929791	0.267	135900422	GPR101	NM_054021	flanking_5UTR	-61070	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs1059696	0.2738	0	ALOX5	NM_000698	intron	-1440	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs4964670	0.2785	107197224	CMKLR1	NM_004072	intron	-8022	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs7524808	0.2818	198941624	LGR6	NM_001017403	intron	-4847	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs4792147	0.2913	7892544	ALOX15B	NM_001141	coding	[116/63]	NONSYN	R656Q (NP_001132)	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs1201465	0.2957	135836369	GPR101	NM_054021	flanking_3UTR	-1457	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs803556	0.3026	107260642	CMKLR1	NM_004072	flanking_5UTR	-25090	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs4964246	0.3084	107205027	CMKLR1	NM_004072	intron	-15825	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs312462	0.317	6854376	ALOX12	NM_000697	coding	[90/89]	0.84	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs4468690	0.3205	7881479	ALOX15B	NM_001141	flanking_5UTR	-1647	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs2135845	0.326	6787797	ALOX12	NM_000697	flanking_5UTR	-52330	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs720547	0.3293	123669445	GPR37	NM_005302	flanking_3UTR	-310621	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs4247362	0.335	7885267	ALOX15B	NM_001141	intron	-1144	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs2058136	0.3546	123732138	GPR37	NM_005302	flanking_3UTR	-247928	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs1323555	0.3559	48148998	CYSLTR2	NM_020377	flanking_5UTR	-29953	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs11239524	0.3592	45232777	ALOX5	NM_000698	intron	-5011	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs993080	0.3633	123673171	GPR37	NM_005302	flanking_3UTR	-306895	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs9595960	0.3814	48151520	CYSLTR2	NM_020377	flanking_5UTR	-27431	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs1823696	0.3877	198898833	LGR6	NM_001017403	flanking_3UTR	-3848	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1990254	0.3957	123652019	GPR37	NM_005302	flanking_3UTR	-328047	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs12669817	0.4043	123670692	GPR37	NM_005302	flanking_3UTR	-309374	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs717240	0.4058	123972756	GPR37	NM_005302	flanking_3UTR	-7310	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs1878022	0.4063	107201499	CMKLR1	NM_004072	intron	-12297	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs17764723	0.4064	4478631	ALOX15	NM_001140	flanking_3UTR	-2333	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs741646	0.4102	107322711	CMKLR1	NM_004072	flanking_5UTR	-87159	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs10808216	0.4147	123688394	GPR37	NM_005302	flanking_3UTR	-291672	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs4141075	0.4331	124004528	GPR37	NM_005302	flanking_5UTR	-4897	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs3780906	0.4386	45241988	ALOX5	NM_000698	intron	-1403	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs2402741	0.4389	123801294	GPR37	NM_005302	flanking_3UTR	-178772	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs849646	0.4405	123946384	GPR37	NM_005302	flanking_3UTR	-33682	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs1538268	0.4418	198932456	LGR6	NM_001017403	intron	-3665	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs11113836	0.4421	107252588	CMKLR1	NM_004072	flanking_5UTR	-17036	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs2673730	0.4429	107319703	CMKLR1	NM_004072	flanking_5UTR	-84151	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
16	rs255052	0.4513	66582496	DPEP2	NM_022355	intron	-22	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs938448	0.4526	107217187	CMKLR1	NM_004072	intron	-9051	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs3759443	0.4549	0	GPR18	NM_005292	intron	-85	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs4110755	0.4557	48197534	CYSLTR2	NM_020377	flanking_3UTR	-16036	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs7846038	0.4658	27418059	EPHX2	NM_001979	intron	-330	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs4383207	0.4733	7877007	ALOX15B	NM_001141	flanking_5UTR	-6119	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs2741354	0.4734	27471393	EPHX2	NM_001979	flanking_3UTR	-12991	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs10435284	0.4742	123679804	GPR37	NM_005302	flanking_3UTR	-300262	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs7222957	0.4753	6763272	ALOX12	NM_000697	flanking_5UTR	-76855	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs1399822	0.481	107215248	CMKLR1	NM_004072	intron	-10990	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs10861891	0.4859	107212790	CMKLR1	NM_004072	intron	-13448	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs11113832	0.4944	107246065	CMKLR1	NM_004072	flanking_5UTR	-10513	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs10778622	0.5023	107222290	CMKLR1	NM_004072	intron	-3948	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs2190916	0.5073	123746727	GPR37	NM_005302	flanking_3UTR	-233339	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
19	rs1465557	0.5075	55973037	GPR32	NM_001506	flanking_3UTR	-6298	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs311734	0.509	6818123	ALOX12	NM_000697	flanking_5UTR	-22004	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs2190929	0.5109	123705277	GPR37	NM_005302	flanking_3UTR	-274789	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs3780901	0.5132	45237382	ALOX5	NM_000698	intron	-2112	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1917353	0.5212	123790395	GPR37	NM_005302	flanking_3UTR	-189671	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs7793355	0.5257	123809301	GPR37	NM_005302	flanking_3UTR	-170765	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs11584662	0.5347	183312481	PTGS2	NM_000963	flanking_3UTR	-60144	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs993079	0.5355	123672989	GPR37	NM_005302	flanking_3UTR	-307077	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs6635407	0.5377	136051853	GPR101	NM_054021	flanking_5UTR	-212501	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs1449585	0.5659	48288942	CYSLTR2	NM_020377	flanking_3UTR	-107444	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs1927731	0.574	98723873	GPR18	NM_005292	flanking_5UTR	-15245	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1181810	0.5825	123779784	GPR37	NM_005302	flanking_3UTR	-200282	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs321006	0.5852	77375754	CYSLTR1	NM_006639	intron	-13192	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs12829073	0.5852	107179780	CMKLR1	NM_004072	flanking_3UTR	-8033	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs12032424	0.5884	198923528	LGR6	NM_001017403	flanking_5UTR	-2679	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs872561	0.5948	107210482	CMKLR1	NM_004072	intron	-15756	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs2383529	0.5974	183400749	PTGS2	NM_000963	flanking_5UTR	-19537	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1544452	0.598	123975640	GPR37	NM_005302	flanking_3UTR	-4426	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs321007	0.5984	77375357	CYSLTR1	NM_006639	intron	-13589	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs1931688	0.6015	136036706	GPR101	NM_054021	flanking_5UTR	-197354	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs5959150	0.6092	77504203	CYSLTR1	NM_006639	flanking_5UTR	-114972	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs788805	0.6208	199025573	LGR6	NM_001017403	flanking_3UTR	-5029	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs7816586	0.6217	27425251	EPHX2	NM_001979	intron	-18	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs5912576	0.6341	77319748	CYSLTR1	NM_006639	flanking_3UTR	-14527	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs2886230	0.6346	135869885	GPR101	NM_054021	flanking_5UTR	-30533	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs650985	0.6419	109913622	GSTM4	NM_000850	intron	-41	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs320996	0.6444	77333617	CYSLTR1	NM_006639	flanking_3UTR	-658	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs6633866	0.6445	135902795	GPR101	NM_054021	flanking_5UTR	-63443	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs10900213	0.6538	45224720	ALOX5	NM_000698	intron	-2924	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs12135777	0.6578	198986703	LGR6	NM_001017403	intron	-5067	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs1515631	0.6613	107234072	CMKLR1	NM_004072	intron	-1198	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs10911901	0.6667	183355663	PTGS2	NM_000963	flanking_3UTR	-16962	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs1864414	0.6718	45190567	ALOX5	NM_000698	intron	-685	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs320976	0.6799	77468584	CYSLTR1	NM_006639	flanking_5UTR	-79353	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1319514	0.685	123961763	GPR37	NM_005302	flanking_3UTR	-18303	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs7330144	0.695	48154504	CYSLTR2	NM_020377	flanking_5UTR	-24447	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs320985	0.7025	77494616	CYSLTR1	NM_006639	flanking_5UTR	-105385	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs2153005	0.7031	198977845	LGR6	NM_001017403	intron	-540	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs751141	0.7039	27429782	EPHX2	NM_001979	coding	[29/49]	NONSYN	R287Q (NP_001970)	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs10920362	0.7073	198914965	LGR6	NM_001017404	coding	[26/56]	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs788823	0.7158	199000628	LGR6	NM_001017403	intron	-1005	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs321068	0.7164	77492070	CYSLTR1	NM_006639	flanking_5UTR	-102839	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
16	rs255049	0.7179	66570972	DPEP3	NM_022357	intron	-70	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs10489397	0.7191	183330267	PTGS2	NM_000963	flanking_3UTR	-42358	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs2383513	0.7231	183331181	PTGS2	NM_000963	flanking_3UTR	-41444	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs952584	0.7302	107226763	CMKLR1	NM_004072	intron	-313	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
19	rs8101336	0.7338	55946362	GPR32	NM_001506	flanking_5UTR	-19307	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs1190736	0.738	135838984	GPR101	NM_054021	coding	[1158/368]	NONSYN	V124L (NP_473362)	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs6502997	0.7397	6828482	ALOX12	NM_000697	flanking_5UTR	-11645	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs3010069	0.7549	198925091	LGR6	NM_001017403	flanking_5UTR	-1116	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs1487562	0.7564	45248828	ALOX5	NM_000698	intron	-4611	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs1946	0.7566	107185845	CMKLR1	NM_004072	flanking_3UTR	-1968	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs896549	0.7791	198936980	LGR6	NM_001017403	intron	-203	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs7777180	0.7852	123920668	GPR37	NM_005302	flanking_3UTR	-59398	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs12739853	0.7956	198964773	LGR6	NM_001017403	intron	-12317	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs11780592	0.7989	27474664	EPHX2	NM_001979	flanking_3UTR	-16262	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs2071575	0.8127	27454349	EPHX2	NM_001979	intron	-260	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs3795598	0.8197	198928818	LGR6	NM_001017403	intron	-27	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs11762379	0.8215	123703882	GPR37	NM_005302	flanking_3UTR	-276184	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs10911898	0.8334	183344250	PTGS2	NM_000963	flanking_3UTR	-28375	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs12401885	0.8355	183414532	PTGS2	NM_000963	flanking_5UTR	-33320	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs4149246	0.843	27439818	EPHX2	NM_001979	intron	-912	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs2177651	0.8463	123899564	GPR37	NM_005302	flanking_3UTR	-80502	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs705766	0.8496	199011366	LGR6	NM_001017403	intron	-225	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs10911905	0.8526	183384052	PTGS2	NM_000963	flanking_5UTR	-2840	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1568814	0.8548	123815958	GPR37	NM_005302	flanking_3UTR	-164108	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs990466	0.8584	48218469	CYSLTR2	NM_020377	flanking_3UTR	-36971	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs7795796	0.8637	123892804	GPR37	NM_005302	flanking_3UTR	-87262	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1524757	0.8754	123831418	GPR37	NM_005302	flanking_3UTR	-148648	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs321053	0.8772	77477260	CYSLTR1	NM_006639	flanking_5UTR	-88029	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1008290	0.879	123975586	GPR37	NM_005302	flanking_3UTR	-4480	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
1	rs2924100	0.8869	198975345	LGR6	NM_001017403	intron	-1745	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs916055	0.8884	4481583	ALOX15	NM_001140	3UTR	[619/59]	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs434473	0.8906	6845658	ALOX12	NM_000697	coding	[14/195]	NONSYN	N322S (NP_000688)	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs1126667	0.8909	6843484	ALOX12	NM_000697	coding	[136/24]	NONSYN	Q261R (NP_000688)	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
8	rs7017417	0.9035	27401222	EPHX2	NM_001979	flanking_5UTR	-3339	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
17	rs2073438	0.9059	6840800	ALOX12	NM_000697	intron	-68	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
12	rs10778632	0.9078	107272529	CMKLR1	NM_004072	flanking_5UTR	-36977	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs9535080	0.9139	48246725	CYSLTR2	NM_020377	flanking_3UTR	-65227	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs1917361	0.9192	123871419	GPR37	NM_005302	flanking_3UTR	-108647	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
13	rs7400406	0.9207	48214742	CYSLTR2	NM_020377	flanking_3UTR	-33244	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
23	rs5931046	0.9213	135838227	GPR101	NM_054021	coding	[401/1125]	NONSYN	L376P (NP_473362)	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
10	rs2115819	0.9226	45221095	ALOX5	NM_000698	intron	-6549	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
7	rs702426	0.9246	123954662	GPR37	NM_005302	flanking_3UTR	-25404	-1	-1	1	1	0.995494240837696	0.9992	0.995494240837696	0.998037696335079
