gene	Chromosome	Probe.Set.ID	Affy.SNP.ID	dbSNP.RS.ID	Physical.Position	Position.End	Strand	Number.of.individuals	OMIM	Associated.Gene																			
ALOX15	17	AX-13225962	Affx-14235623	rs117519601	6571439	6571439	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 16593 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 12611 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 16600 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 6738 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-13226061	Affx-14236447	rs75743486	6577829	6577829	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 10203 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 19001 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 10210 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 13128 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-13241930	Affx-14429846	rs8079914	7937533	7937533	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Cone-rod dystrophy 6 // 601777 // downstream	"ENST00000254854 // downstream // 13876 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// ENST00000459145 // downstream // 272 // --- // --- // --- // --- /// NM_000180 // downstream // 13875 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 4825 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15	17	AX-13241934	Affx-14429910	rs4468690	7940754	7940754	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream	"ENST00000380183 // upstream // 1581 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000459145 // upstream // 2852 // --- // --- // --- // --- /// NM_000180 // downstream // 17096 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 1604 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15	17	AX-13241951	Affx-14430191	rs61730298	7951756	7951756	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000380173 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000380183 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000571240 // exon // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000572022 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000573359 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039130 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001039131 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001141 // missense // 0 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15B	17	AX-13241966	Affx-14430456	rs75822584	7959060	7959060	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	"603741 // Ichthyosis, congenital, autosomal recessive 2 // 242100 // downstream"	"ENST00000571240 // downstream // 6608 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000577807 // downstream // 483 // --- // --- // --- // --- /// NM_001039130 // downstream // 6609 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001139 // downstream // 16894 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type"																			
ALOX15B	17	AX-13241967	Affx-14430458	rs77206066	7959125	7959125	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	"603741 // Ichthyosis, congenital, autosomal recessive 2 // 242100 // downstream"	"ENST00000571240 // downstream // 6673 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000577807 // downstream // 418 // --- // --- // --- // --- /// NM_001039130 // downstream // 6674 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001139 // downstream // 16829 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type"																			
ALOX12B	17	AX-13241981	Affx-14430554	rs58229698	7964679	7964679	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	"603741 // Ichthyosis, congenital, autosomal recessive 2 // 242100 // downstream"	"ENST00000319144 // downstream // 11275 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type /// ENST00000577807 // upstream // 3740 // --- // --- // --- // --- /// NM_001039130 // downstream // 12228 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001139 // downstream // 11275 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type"																			
ALOX12B	17	AX-13241993	Affx-14430699	rs9904534	7970339	7970339	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	"603741 // Ichthyosis, congenital, autosomal recessive 2 // 242100 // downstream"	"ENST00000319144 // downstream // 5615 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type /// ENST00000577807 // upstream // 9400 // --- // --- // --- // --- /// NM_001039130 // downstream // 17888 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// NM_001139 // downstream // 5615 // Hs.136574 // ALOX12B // 242 // arachidonate 12-lipoxygenase, 12R type"																			
ALOX15	17	AX-32217863	Affx-13972348	rs8068656	4521099	4521099	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	ENST00000410497 // downstream // 1945 // --- // --- // --- // --- /// ENST00000573270 // downstream // 154 // Hs.434312 // LOC400568 // 400568 // Uncharacterized LOC400568 /// NM_001114974 // downstream // 9485 // Hs.441709 // SMTNL2 // 342527 // smoothelin-like 2 /// NM_001140 // downstream // 13115 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase																			
ALOX15	17	AX-32218969	Affx-13976056	rs116568477	4549474	4549474	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 3885 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 25205 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 4514 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 25205 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15	17	AX-32219267	Affx-13977001	rs76577060	4557861	4557861	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 12272 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 16818 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 12901 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 16818 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15	17	AX-32219289	Affx-13977138	rs74938208	4559033	4559033	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000545513 // upstream // 13444 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// ENST00000574876 // downstream // 15646 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1 /// NM_001140 // upstream // 14073 // Hs.73809 // ALOX15 // 246 // arachidonate 15-lipoxygenase /// NM_014389 // downstream // 15646 // Hs.744899 // PELP1 // 27043 // proline, glutamate and leucine rich protein 1"																			
ALOX15	17	AX-32283381	Affx-14234038	rs199885223	6560595	6560595	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 27437 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 1767 // --- // MIR4520A // 100616401 // microRNA 4520a /// NR_039745 // upstream // 1767 // --- // MIR4520A // 100616401 // microRNA 4520a /// NR_045985 // upstream // 443 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32283621	Affx-14235334	rs7217098	6569530	6569530	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 18502 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 10702 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 18509 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 4829 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32283655	Affx-14235459	rs2107569	6570375	6570375	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 17657 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 11547 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 17664 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 5674 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32283773	Affx-14235993	rs117574882	6573982	6573982	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 14050 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 15154 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 14057 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 9281 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32283891	Affx-14236444	rs72834393	6577800	6577800	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 10232 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 18972 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 10239 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 13099 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32283911	Affx-14236511	rs72834394	6578515	6578515	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 9517 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 19687 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 9524 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 13814 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32283965	Affx-14236639	rs624113	6579404	6579404	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 8628 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 20576 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 8635 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 14703 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32284149	Affx-14237492	rs72834397	6586050	6586050	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	---	"ENST00000433363 // downstream // 1982 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// ENST00000582609 // upstream // 27222 // --- // MIR4520A // 100616401 // microRNA 4520a /// NM_001143838 // downstream // 1989 // Hs.399496 // SLC13A5 // 284111 // solute carrier family 13 (sodium-dependent citrate transporter), member 5 /// NR_045985 // downstream // 21349 // Hs.549540 // ALOX15P1 // 100652883 // arachidonate 15-lipoxygenase pseudogene 1"																			
ALOX15	17	AX-32351443	Affx-14429651	rs72841487	7928982	7928982	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Cone-rod dystrophy 6 // 601777 // downstream	"ENST00000254854 // downstream // 5325 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// ENST00000459145 // downstream // 8823 // --- // --- // --- // --- /// NM_000180 // downstream // 5324 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 13376 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15	17	AX-32351445	Affx-14429654	rs77312413	7929172	7929172	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Cone-rod dystrophy 6 // 601777 // downstream	"ENST00000254854 // downstream // 5515 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// ENST00000459145 // downstream // 8633 // --- // --- // --- // --- /// NM_000180 // downstream // 5514 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 13186 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15	17	AX-32351507	Affx-14429850	rs77581398	7937764	7937764	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream /// 600179 // Cone-rod dystrophy 6 // 601777 // downstream	"ENST00000254854 // downstream // 14107 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// ENST00000459145 // downstream // 41 // --- // --- // --- // --- /// NM_000180 // downstream // 14106 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 4594 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
ALOX15B	17	AX-32351513	Affx-14429861	rs60415448	7938377	7938377	+	170 // CEU /// 194 // CHB /// 178 // JPT /// 176 // YRI	600179 // Cone-rod dystrophy 6 // 601777 // downstream /// 600179 // Leber congenital amaurosis 1 // 204000 // downstream	"ENST00000380183 // upstream // 3958 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B /// ENST00000459145 // upstream // 475 // --- // --- // --- // --- /// NM_000180 // downstream // 14719 // Hs.592109 // GUCY2D // 3000 // guanylate cyclase 2D, membrane (retina-specific) /// NM_001141 // upstream // 3981 // Hs.111256 // ALOX15B // 247 // arachidonate 15-lipoxygenase, type B"																			
